number,value,datetime_start,datetime_complete,duration,params_alpha1,params_alpha2,params_alpha3,params_alpha4,params_alpha5,state
0,1.03,2021-09-02 00:51:45.254804,2021-09-02 00:56:23.918647,0 days 00:04:38.663843,0.06107686573608482,0.0013949458198611203,0.0008079896808319476,0.01604202084518248,0.07548764540205032,COMPLETE
1,-0.282,2021-09-02 00:56:23.919519,2021-09-02 01:00:59.639727,0 days 00:04:35.720208,0.00492522233779106,0.8376388146302433,0.05486797781181634,0.00838933633479257,0.00370228692069884,COMPLETE
2,0.546,2021-09-02 01:00:59.640587,2021-09-02 01:05:33.569610,0 days 00:04:33.929023,0.0023589137648150622,0.08245155098953617,0.005679223741740077,0.00017326529663635638,0.003910002376153658,COMPLETE
3,1.0,2021-09-02 01:05:33.570480,2021-09-02 01:10:07.658590,0 days 00:04:34.088110,0.08953268791955236,0.0005369908947196364,0.0005032769318663512,0.013372281038573085,0.013406343673102117,COMPLETE
4,0.462,2021-09-02 01:10:07.659433,2021-09-02 01:14:42.292715,0 days 00:04:34.633282,0.03448290408913142,0.24987751386014637,0.07903533518289983,0.02780315255778501,0.07758424358283758,COMPLETE
5,0.084,2021-09-02 01:14:42.293557,2021-09-02 01:19:16.329794,0 days 00:04:34.036237,0.001958103552839226,0.0027999780223990104,0.000818564533066726,0.0014957402671706668,0.03341215561348894,COMPLETE
6,0.26,2021-09-02 01:19:16.330674,2021-09-02 01:23:50.760719,0 days 00:04:34.430045,0.0002335714515891046,0.005430060779219497,0.005289943741212552,0.009434967110751792,0.005050346330980689,COMPLETE
7,-0.466,2021-09-02 01:23:50.761578,2021-09-02 01:28:25.167209,0 days 00:04:34.405631,0.001774372883716282,0.005074639876783337,0.3745904080926284,0.5979158591419443,0.010170603027497472,COMPLETE
8,0.308,2021-09-02 01:28:25.168048,2021-09-02 01:32:59.241293,0 days 00:04:34.073245,0.03131928271719602,0.0002900504745273943,0.0018584116841385628,0.004563571379820828,0.2919017048795455,COMPLETE
9,-0.462,2021-09-02 01:32:59.242148,2021-09-02 01:37:33.186251,0 days 00:04:33.944103,0.0010042028777169465,0.008553366021440328,0.8754657140659065,0.011965765212602297,0.028286427653765295,COMPLETE
10,1.0,2021-09-02 01:37:33.187105,2021-09-02 01:42:07.291977,0 days 00:04:34.104872,0.8658029726346377,0.00011488967514486015,0.00017167318013103117,0.15851149257007724,0.00025460276643872237,COMPLETE
11,0.804,2021-09-02 01:42:07.292826,2021-09-02 01:46:41.598370,0 days 00:04:34.305544,0.34535538275958344,0.0008553679550380674,0.000360916663647474,0.1311898417037666,0.9899170126950568,COMPLETE
12,1.0,2021-09-02 01:46:41.599239,2021-09-02 01:51:15.905345,0 days 00:04:34.306106,0.05763927616575758,0.0008132243721718521,0.00011886319681797728,0.0009799782940102123,0.0007398274237885173,COMPLETE
13,1.344,2021-09-02 01:51:15.906220,2021-09-02 01:55:50.395008,0 days 00:04:34.488788,0.20453997229432996,0.04681725986509287,0.001340470607009069,0.05356375852834804,0.17885393519649387,COMPLETE
14,1.304,2021-09-02 01:55:50.395856,2021-09-02 02:00:24.815429,0 days 00:04:34.419573,0.18085486887053404,0.04265251947978204,0.00196758546288028,0.0651644550254065,0.1659706596882414,COMPLETE
