number,value,datetime_start,datetime_complete,duration,params_alpha1,params_alpha2,params_alpha3,params_alpha4,params_alpha5,params_beta1,state
0,0.982,2021-09-02 15:31:45.192012,2021-09-02 15:34:20.330199,0 days 00:02:35.138187,0.6107686573608484,0.013949458198611207,0.008079896808319472,0.16042020845182484,0.7548764540205033,2.423106460124461,COMPLETE
1,1.473,2021-09-02 15:34:20.334789,2021-09-02 15:37:00.822584,0 days 00:02:40.487795,8.376388146302443,0.5486797781181635,0.08389336334792571,0.03702286920698841,0.023589137648150627,2.729049707384042,COMPLETE
2,0.991,2021-09-02 15:37:00.825583,2021-09-02 15:39:40.266906,0 days 00:02:39.441323,0.05679223741740079,0.0017326529663635624,0.03910002376153661,0.8953268791955239,0.005369908947196365,2.1754517561474924,COMPLETE
3,1.011,2021-09-02 15:39:40.272906,2021-09-02 15:42:19.049744,0 days 00:02:38.776838,0.1337228103857309,0.1340634367310212,0.3448290408913143,2.4987751386014665,0.7903533518289985,2.6110235106775828,COMPLETE
4,0.99,2021-09-02 15:42:19.053738,2021-09-02 15:44:57.558379,0 days 00:02:38.504641,0.775842435828376,0.019581035528392247,0.027999780223990085,0.008185645330667263,0.014957402671706673,2.630976123854488,COMPLETE
5,0.992,2021-09-02 15:44:57.564377,2021-09-02 15:47:39.292779,0 days 00:02:41.728402,0.002335714515891042,0.054300607792195005,0.052899437412125536,0.09434967110751795,0.05050346330980693,2.3122612229724653,COMPLETE
6,0.204,2021-09-02 15:47:39.297778,2021-09-02 15:50:16.165443,0 days 00:02:36.867665,0.05074639876783337,3.7459040809262816,5.979158591419449,0.10170603027497473,0.3131928271719603,2.115618395079296,COMPLETE
7,0.955,2021-09-02 15:50:16.168441,2021-09-02 15:52:54.635908,0 days 00:02:38.467467,0.01858411684138564,0.04563571379820827,2.919017048795458,0.010042028777169459,0.0855336602144033,2.985559785610705,COMPLETE
8,1.076,2021-09-02 15:52:54.639913,2021-09-02 15:55:33.546593,0 days 00:02:38.906680,0.1196576521260231,0.282864276537653,0.003037488651075691,2.020055036708134,0.25836906504723767,2.545068006466465,COMPLETE
9,0.752,2021-09-02 15:55:33.549596,2021-09-02 15:58:12.052453,0 days 00:02:38.502857,0.023499322154972465,0.01646202117975735,0.04656813487239959,0.5311327280336986,3.175611508579145,2.510422337478011,COMPLETE
10,1.708,2021-09-02 15:58:12.054453,2021-09-02 16:00:54.083988,0 days 00:02:42.029535,8.658029726346383,2.1689605271604475,0.7844839854625021,0.0010770715974238653,0.0015343927718428072,2.8810561175451834,COMPLETE
11,1.581,2021-09-02 16:00:54.086986,2021-09-02 16:03:36.782676,0 days 00:02:42.695690,7.4800025588870405,2.2388901252719826,0.3989366982317095,0.001163971411587345,0.002628214860282598,2.8916855079208355,COMPLETE
